구간,라벨,goods_no,판정,의미,p_female,브랜드,상품명
선행,남성,3545637,M,동성·모델없음(유지),0.9408,그레이버,[UNISEX]백 데이지플라워 스마일 후드티_그레이
선행,남성,5925547,M,동성·모델없음(유지),0.9382,마누,S-08A 와플 후디
선행,남성,5047606,X,혼성(유지),0.9377,레이몬트,에센셜  RAI 로고 솔리드 반팔 티셔츠_화이트
선행,남성,2961341,M,동성·모델없음(유지),0.9361,칸6312,KHB0191 마리아 기모 후드 블랙
선행,남성,2222005,M,동성·모델없음(유지),0.9335,칸6312,KHC0023 치카노퀸 기모 후드 - 크림
선행,남성,6277950,M,동성·모델없음(유지),0.9333,보다,우주먼지 티셔츠 화이트
선행,남성,1858928,X,혼성(유지),0.9283,세븐틴스,골드해바라기 오버핏 반팔 라운드 (블랙-FREE)
선행,남성,3144977,M,동성·모델없음(유지),0.9281,돌돌,DMK_T-shirts_62 그래피티 아티스트 데빌몽키 dmk 캐릭터 그래픽 티셔츠 반팔티
선행,남성,3241921,M,동성·모델없음(유지),0.9269,칸6312,KTB0185 큐티걸스 반팔 티셔츠 블랙
선행,남성,3262441,M,동성·모델없음(유지),0.9247,칸6312,KTB0191 마리아 반팔 티셔츠 블랙
선행,남성,3262449,M,동성·모델없음(유지),0.9231,칸6312,KTG0191 마리아 반팔 티셔츠 그레이
선행,남성,2724237,M,동성·모델없음(유지),0.9221,돌돌,FICO_tshirts-18 익스트림 바다 낚시 앵글러 코끼리 피코 캐릭터 그래픽 디자인 티셔츠
선행,남성,4421232,M,동성·모델없음(유지),0.9213,쿨트,Vintage girl hoody Brown
선행,남성,1042466,M,동성·모델없음(유지),0.9184,돌돌,Gangster Guile_T-shirts_19 갱스터 크로우 가일 힙합 그래피티 캐릭터 그래픽 디자인 티셔츠
선행,남성,4370478,M,동성·모델없음(유지),0.9170,바스락,아치 로고 롱 슬리브 딥오션
선행,남성,4174919,M,동성·모델없음(유지),0.9168,돌돌,WOOPS-T-107  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,4052129,M,동성·모델없음(유지),0.9156,돌돌,WOOPS-T-69  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,6583541,M,동성·모델없음(유지),0.9153,바이모노,[빅사이즈 S-8XL] 쏙쏙숨티 CANADA 자동넣입 반팔
선행,남성,2688602,M,동성·모델없음(유지),0.9147,칸6312,KSB0138 올드문 롱슬리브리스 - 블랙
선행,남성,4421244,M,동성·모델없음(유지),0.9136,쿨트,Vintage girl hoody Black
선행,남성,2724239,M,동성·모델없음(유지),0.9123,돌돌,FICO_tshirts-19 익스트림 바다 낚시 앵글러 코끼리 피코 캐릭터 그래픽 디자인 티셔츠
선행,남성,3262443,M,동성·모델없음(유지),0.9112,칸6312,KTN0191 마리아 반팔 티셔츠 네이비
선행,남성,6380886,M,동성·모델없음(유지),0.9093,엄브로,[QUICK-DRY] 슬로우킥 히트맵 로고 프레쉬 반팔 티셔츠 화이트 UR221SRS54
선행,남성,5402125,M,동성·모델없음(유지),0.9071,아웃도어 프로덕츠,MULTI LOGO HOODIE (CHARCOAL)
선행,남성,6190076,M,동성·모델없음(유지),0.9061,마크곤잘레스,2002 풋볼 반팔 티셔츠 - WHITE
선행,남성,4503494,M,동성·모델없음(유지),0.9050,칼렉,레이싱 폴라텍 파워그리드 러닝 후디 남성(오렌지)
선행,남성,2222001,M,동성·모델없음(유지),0.9042,칸6312,KHG0023 치카노퀸 기모 후드 - 그레이
선행,남성,1870225,M,동성·모델없음(유지),0.9033,딜레탕티즘,데님 조거 트레이닝 후드
선행,남성,6190288,M,동성·모델없음(유지),0.9020,휠라,Coldwave+ 아카이브 반팔티(FS262RS01X013626)
선행,남성,6097876,M,동성·모델없음(유지),0.9018,르꼬끄,유니 르프레쉬 라이트 백그래픽 루즈핏 반팔티 - 코랄 QR223LRS42
선행,남성,2603208,M,동성·모델없음(유지),0.9016,칸6312,KSB0055 썸머 롱슬리브리스 - 블랙
선행,남성,1474749,M,동성·모델없음(유지),0.9015,변화,CHANGE 태극기 후드티 자수 블랙
선행,남성,5728338,M,동성·모델없음(유지),0.9013,엘리메노,EL [심아일랜드] Young-Hee 후드티셔츠
선행,남성,6725029,M,동성·모델없음(유지),0.8979,어나더 오피스,Dyed Ribbed Scoop Neck Tank (Gray)
선행,남성,3531625,M,동성·모델없음(유지),0.8978,원헌드레드퍼센트,OHP X BJ.KO b샤샤 no.4 베이직 긴팔티셔츠
선행,남성,6278875,M,동성·모델없음(유지),0.8977,디터민드,더블타이거 오버핏
선행,남성,3913829,M,동성·모델없음(유지),0.8974,쿨트,DOUBLE ARCH T-SHIRT L.MELANGE
선행,남성,1879682,M,동성·모델없음(유지),0.8961,돌돌,RUNCH-T-10 런닝 치타 런치 캐릭터 그래픽 티셔츠
선행,남성,4052123,M,동성·모델없음(유지),0.8947,돌돌,WOOPS-T-63  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,4990037,M,동성·모델없음(유지),0.8934,버커루,16수 싱글 오버핏 빈티지 아트웍 민소매 티셔츠 그레이
선행,남성,1939902,M,동성·모델없음(유지),0.8917,돌돌,WOOPS-T-118  스케이트보드 고양이 웁스 캐릭터 그래픽티셔츠
선행,남성,4983652,M,동성·모델없음(유지),0.8913,블랙야크,ZERO 공용 우븐 셋업 반팔티_DY
선행,남성,2551977,M,동성·모델없음(유지),0.8901,칸6312,KSB0009 갓 롱슬리브리스 - 블랙
선행,남성,4068835,M,동성·모델없음(유지),0.8878,커뮤니티클럽,MUSIC NOTE TEE Navy
선행,남성,743605,X,혼성(유지),0.8856,기럭지,로고자수  반팔 티셔츠
선행,남성,4388180,M,동성·모델없음(유지),0.8853,바켄,사이드 트임 후드티 와이드 카고 트레이닝 팬츠 셋업 BK8906_8907
선행,남성,4795917,M,동성·모델없음(유지),0.8846,와르,M1048 레터링 티셔츠 (2COLORS)
선행,남성,4655205,M,동성·모델없음(유지),0.8837,무신사 스탠다드,클래식 링거 티셔츠 [크림]
선행,남성,4729083,X,혼성(유지),0.8835,아르메데스,[2PACK] 면 16수 오버핏 아트그래픽 반팔티셔츠 (1024)
선행,남성,4623452,M,동성·모델없음(유지),0.8827,하이퍼플,하이퍼플 인피니티 후드티
선행,남성,6624330,M,동성·모델없음(유지),0.8826,슬레이즈,에이팩스 사인 티셔츠 (그레이) + 8LOCK (1P)
선행,남성,3934288,M,동성·모델없음(유지),0.8799,쿨트,UV MARSEILLE LETTERING T-SHIRT GREY
선행,남성,4551225,M,동성·모델없음(유지),0.8773,오리지널데이,[기모선택] Fire Lettering 오버핏 후디 후드 티셔츠 Black
